created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls
2020-12-03T23:40:52+00:00,1334643797339365379,1334643797339365379,"They make a big difference to children/young people across the UK (I know this personally in my work with hospital charities for children) &amp; schools didn't get to raise money so much this year with #COVID19  - if you are able, please make a donation: https://t.co/ht055h0mPB #CiN",en,False,False,0,0,0,0,,,,43140214,LittleMzMuffet,Cheri,False,,,"#COVID19 , #CiN",,https://t.co/ht055h0mPB
2020-12-03T23:40:50+00:00,1334643790691315732,1334643790691315732,"#COVID19 #vaccine #advice 
Information for UK recipients on Pfizer/BioNTech COVID-19 vaccine

What you need to know before you receive COVID-19 vaccination

https://t.co/OFGFNZmW8U",en,False,False,0,0,0,0,,,,19965305,Passionflower99,Pan,False,,,"#COVID19 , #vaccine , #advice",,https://t.co/OFGFNZmW8U
2020-12-03T23:40:50+00:00,1334643789575696385,1334643789575696385,"#Fallecimiento #COVID19 #ParteEpidemiológico
🔴Con las víctimas fatales registradas este jueves el total de decesos de la provincia ascendió a 252.

Más información👇#SanJuan 
https://t.co/NYZXXf6JzB",es,False,False,0,0,0,0,,,,158380455,sanjuantv,Canal 13 San Juan TV,False,,,"#Fallecimiento , #COVID19 , #ParteEpidemiológico , #SanJuan",,https://t.co/NYZXXf6JzB
2020-12-03T23:40:47+00:00,1334643777647087623,1334643777647087623,"SU is scheduled to play Niagara tonight despite a player testing positive for #COVID19

A little background on the team's testing and tracing protocols: https://t.co/y9GxlIQTVj",en,False,False,0,0,0,0,1334638241706860550,,,4892821583,trishkilgannon,Trish Kilgannon,False,,,#COVID19,,https://t.co/y9GxlIQTVj
2020-12-03T23:40:46+00:00,1334643770424438784,1334571897770618882,"@devisridhar From info, @grantshapps has authorised travel from #USA where #COVID19 is spreading like widfire. Sincerely hope likes of @KayBurley, @mrjamesob,@NickFerrariLBC ,@bbcnickrobinson question this idiocy, because seems @MattHancock @CMO_England won't.",en,False,False,0,0,0,0,,,,2733657376,50sEKBOY,Mo,False,1334571897770618882,174151902,"#USA , #COVID19","devisridhar , grantshapps , KayBurley , mrjamesob , NickFerrariLBC , bbcnickrobinson , MattHancock , CMO_England",
2020-12-03T23:40:41+00:00,1334643752288145409,1334643752288145409,"新型コロナウイルスの検査法（野田衛先生）
#PCR検査 #抗体検査 #COVID19 #検査 
https://t.co/9Nlo8Nvoz8",ja,False,False,0,0,0,0,,,,1325887380,NPOSFSS_event,T.Yamasaki（SFSS食の安全と安心) #Masks4all,False,,,"#PCR検査 , #抗体検査 , #COVID19 , #検査",,https://t.co/9Nlo8Nvoz8
2020-12-03T23:40:40+00:00,1334643745950732290,1334643745950732290,"BAHIA:

Os atendimentos em unidades específicas para a #COVID19  aumentaram 80%

Internações aumentaram atingindo 70% de ocupação dos leitos. 

Autoridades afirmam que há uma segunda onda no estado.",pt,False,False,0,0,0,0,,,,1245441853740191753,contagemcorona1,Contagem coronavírus - Brasil (Notícias 24 horas),False,,,#COVID19,,
2020-12-03T23:40:39+00:00,1334643745044762627,1334643745044762627,"Server takes glass to the face after Edmonton pub customer reminded of mask bylaw.

#COVID19 

https://t.co/qkbGUdagDk",en,False,False,0,0,0,0,,,,4026594622,Calilint,Calliope Lintwig,False,,,#COVID19,,https://t.co/qkbGUdagDk
2020-12-03T23:40:39+00:00,1334643744520417281,1334643744520417281,"#Salud 😷🇻🇪El presidente de Venezuela, Nicolás Maduro, informó que su país inició los protocolos ante la #OMS para certificar la molécula denominada DR-10 que tiene “propiedades curativas contra #Covid19”😷🇻🇪

💻https://t.co/9jOQ3Ez1iO
📲La información https://t.co/JDnxJjOrAM",es,False,False,0,0,0,0,,,,304645299,Meganoticias,Meganoticias GDL,False,,,"#Salud , #OMS , #Covid19",,"https://t.co/9jOQ3Ez1iO , https://t.co/JDnxJjOrAM"
2020-12-03T23:40:39+00:00,1334643744134590466,1334588399173427208,"@Hannah40199422 In that case, most Tories should be deported, for enabling the highest #COVID19 death toll in Europe.  They sat back and invited the virus here in early March.  As a direct result, thousands of preventable deaths occurred.  Then we have austerity deaths at 130k plus.",en,False,False,0,0,0,0,,,,483186095,redsonya241,Daisy Rose #IStandWithCorbyn EX-LABOUR,False,1334588399173427208,1109938658998665216,#COVID19,Hannah40199422,
